,IncNodePurity
swt,9.24830740721366
v,0.325172064103993
lh,0.875800398356331
sh,1.05614382630958
strat,2.48602466605112
t,1.22638571330744
rh,0.925920225651547
sp,1.75266906117024
cc,0.835229261335381
ws,0.974777268223223
sr,5.37067945225527
st7,1.37458673039419
st28,2.0128294384474
st100,5.20509427897092
st255,14.4495580886923
sm7,1.60255582169223
sm28,2.42066417706009
sm100,7.79359982048028
sm255,12.1840206383378
tp,0.654770507840768
pev,2.92702916352822
q_gwlf,3.52159542902927
doc_gwlf,9.95283229745868
cyday,10.1175616905466
random,0.706192573543494
